RunID,N,K,outLen,mode,padding,cval,time
SLURM_16208,13,17,13,same,zero,0,3.32e-06
SLURM_16209,13,18,13,same,zero,0,2.8e-06
SLURM_16210,13,19,13,same,zero,0,3.74e-06
SLURM_16211,13,20,13,same,zero,0,3.35e-06
SLURM_16212,13,21,13,same,zero,0,3.51e-06
SLURM_16213,13,22,13,same,zero,0,3.63e-06
SLURM_16214,13,23,13,same,zero,0,3.13e-06
SLURM_16215,13,24,13,same,zero,0,2.72e-06
SLURM_16216,13,25,13,same,zero,0,2.95e-06
SLURM_16217,13,26,13,same,zero,0,3.73e-06
SLURM_16218,13,27,13,same,zero,0,3.36e-06
SLURM_16219,13,28,13,same,zero,0,4.24e-06
SLURM_16220,13,29,13,same,zero,0,2.73e-06
SLURM_16221,13,30,13,same,zero,0,4.17e-06
SLURM_16222,13,31,13,same,zero,0,3.07e-06
SLURM_16223,13,32,13,same,zero,0,3.65e-06
SLURM_16224,13,33,13,same,zero,0,2.86e-06
SLURM_16225,13,34,13,same,zero,0,4.12e-06
SLURM_16226,13,35,13,same,zero,0,3.36e-06
SLURM_16227,13,36,13,same,zero,0,4.1e-06
SLURM_16228,13,37,13,same,zero,0,3.55e-06
SLURM_16229,13,38,13,same,zero,0,3.78e-06
SLURM_16230,13,39,13,same,zero,0,2.95e-06
SLURM_16231,13,40,13,same,zero,0,3.35e-06
SLURM_16232,13,41,13,same,zero,0,4.79e-06
SLURM_16233,13,42,13,same,zero,0,4.55e-06
SLURM_16234,13,43,13,same,zero,0,3.2e-06
SLURM_16235,13,44,13,same,zero,0,3.19e-06
SLURM_16236,13,45,13,same,zero,0,3.48e-06
SLURM_16237,13,46,13,same,zero,0,3.05e-06
SLURM_16238,13,47,13,same,zero,0,3.81e-06
SLURM_16239,13,48,13,same,zero,0,3.35e-06
SLURM_16240,13,49,13,same,zero,0,4.25e-06
SLURM_16241,13,50,13,same,zero,0,4.07e-06
SLURM_16242,13,51,13,same,zero,0,3.26e-06
SLURM_16243,13,52,13,same,zero,0,4.1e-06
SLURM_16244,13,53,13,same,zero,0,3.51e-06
SLURM_16245,13,54,13,same,zero,0,4.88e-06
SLURM_16246,13,55,13,same,zero,0,3.73e-06
SLURM_16247,13,56,13,same,zero,0,4.25e-06
SLURM_16248,13,57,13,same,zero,0,3.57e-06
SLURM_16249,13,58,13,same,zero,0,4.16e-06
SLURM_16250,13,59,13,same,zero,0,3.28e-06
SLURM_16251,13,60,13,same,zero,0,5.01e-06
SLURM_16252,13,61,13,same,zero,0,4.4e-06
SLURM_16253,13,62,13,same,zero,0,3.6e-06
SLURM_16254,13,63,13,same,zero,0,3.09e-06
